order_date,amount,product_name,product_id
2024-01-01,1999.98,iPhone 14 Pro,1
2024-01-02,499.99,Dyson V11 Vacuum,2
2024-01-03,209.97,Levi's 501 Jeans,3
2024-01-04,63.96,The Da Vinci Code,4
2024-01-05,89.99,Neutrogena Skincare Set,5
2024-01-06,149.95,Wilson Evolution Basketball,6
2024-01-07,2499.99,MacBook Pro 16-inch,7
2024-01-08,1199.98,Blueair Classic 480i,8
2024-01-09,539.94,Nike Air Force 1,9
2024-01-10,51.98,Dune by Frank Herbert,10
2024-01-11,129.99,Chanel No. 5 Perfume,11
2024-01-12,599.97,Babolat Pure Drive Tennis Racket,12
2024-01-13,1499.98,Samsung Galaxy Tab S8,13
2024-01-14,189.99,Keurig K-Elite Coffee Maker,14
2024-01-15,499.98,North Face Down Jacket,15
2024-01-16,107.97,"Salt, Fat, Acid, Heat by Samin Nosrat",16
2024-01-17,399.99,Dyson Supersonic Hair Dryer,17
2024-01-18,479.96,Manduka PRO Yoga Mat,18
2024-01-19,999.98,Garmin Forerunner 945,19
2024-01-20,99.99,Ninja Professional Blender,20
2024-01-21,179.97,Zara Summer Dress,21
2024-01-22,45.98,Gone Girl by Gillian Flynn,22
2024-01-23,49.99,Olay Regenerist Face Cream,23
2024-01-24,89.97,Adidas FIFA World Cup Football,24
2024-01-25,299.99,Bose QuietComfort 35 Headphones,25
2024-01-26,179.99,Panasonic NN-SN966S Microwave,26
2024-01-27,359.98,Adidas Ultraboost Shoes,27
2024-01-28,38.97,Pride and Prejudice by Jane Austen,28
2024-01-29,29.99,MAC Ruby Woo Lipstick,29
2024-01-30,259.98,Nike Air Zoom Pegasus 37,30
2024-01-31,699.98,Sony WH-1000XM4 Headphones,31
2024-02-01,269.97,Instant Pot Duo,32
2024-02-02,149.95,Under Armour HeatGear T-Shirt,33
2024-02-03,79.96,1984 by George Orwell,34
2024-02-04,79.98,L'Oreal Revitalift Serum,35
2024-02-05,1895.0,Peloton Bike,36
2024-02-06,1199.97,Apple Watch Series 8,37
2024-02-07,1599.98,Roomba i7+,38
2024-02-08,239.96,Columbia Fleece Jacket,39
2024-02-09,74.97,Harry Potter and the Sorcerer's Stone,40
2024-02-10,105.0,Estee Lauder Advanced Night Repair,41
2024-02-11,259.98,Fitbit Charge 5,42
2024-02-12,1199.97,GoPro HERO10 Black,43
2024-02-13,199.99,Nespresso VertuoPlus,44
2024-02-14,279.98,Patagonia Better Sweater,45
2024-02-15,130.0,Becoming by Michelle Obama,46
2024-02-16,52.0,Clinique Moisture Surge,47
2024-02-17,239.94,Yeti Rambler Tumbler,48
2024-02-18,259.98,Kindle Paperwhite,49
2024-02-19,299.99,Breville Smart Oven,50
2024-02-20,464.97,Ray-Ban Aviator Sunglasses,51
2024-02-21,53.98,The Silent Patient by Alex Michaelides,52
2024-02-22,49.0,Shiseido Ultimate Sun Protector,53
2024-02-23,249.95,Titleist Pro V1 Golf Balls,54
2024-02-24,239.96,Anker PowerCore Portable Charger,55
2024-02-25,499.99,KitchenAid Artisan Stand Mixer,56
2024-02-26,149.95,Calvin Klein Boxer Briefs,57
2024-02-27,84.0,Educated by Tara Westover,58
2024-02-28,46.0,Anastasia Beverly Hills Brow Wiz,59
2024-02-29,349.0,Hyperice Hypervolt Massager,60
2024-03-01,899.97,Nintendo Switch,61
2024-03-02,399.98,Philips Airfryer XXL,62
2024-03-03,99.9,Hanes ComfortSoft T-Shirt,63
2024-03-04,75.96,Where the Crawdads Sing by Delia Owens,64
2024-03-05,102.0,Lancome La Vie Est Belle,65
2024-03-06,599.98,Garmin Edge 530,66
2024-03-07,1199.99,Samsung QLED 4K TV,67
2024-03-08,659.97,Eufy RoboVac 11S,68
2024-03-09,239.96,Puma Suede Classic Sneakers,69
2024-03-10,21.98,The Great Gatsby by F. Scott Fitzgerald,70
2024-03-11,78.0,Drunk Elephant C-Firma Day Serum,71
2024-03-12,389.97,Nike Metcon 6,72
2024-03-13,1599.99,HP Spectre x360 Laptop,73
2024-03-14,899.99,De'Longhi Magnifica Espresso Machine,74
2024-03-15,249.95,Tommy Hilfiger Polo Shirt,75
2024-03-16,59.96,To Kill a Mockingbird by Harper Lee,76
2024-03-17,32.0,Glossier Boy Brow,77
2024-03-18,209.97,Rogue Fitness Kettlebell,78
2024-03-19,499.98,Apple AirPods Pro,79
2024-03-20,499.99,Dyson Pure Cool Link,80
2024-03-21,179.98,Levi's Trucker Jacket,81
2024-03-22,38.97,The Hobbit by J.R.R. Tolkien,82
2024-03-23,100.0,Charlotte Tilbury Magic Cream,83
2024-03-24,149.94,Spalding NBA Street Basketball,84
2024-03-25,99.99,Ring Video Doorbell,85
2024-03-26,2599.98,LG OLED TV,86
2024-03-27,239.97,Uniqlo Ultra Light Down Jacket,87
2024-03-28,55.96,The Catcher in the Rye by J.D. Salinger,88
2024-03-29,105.0,Sunday Riley Good Genes,89
2024-03-30,259.98,On Running Cloud Shoes,90
2024-03-31,199.98,Logitech MX Master 3 Mouse,91
2024-04-01,179.99,Instant Pot Duo Crisp,92
2024-04-02,319.96,Adidas Originals Superstar Sneakers,93
2024-04-03,44.97,The Alchemist by Paulo Coelho,94
2024-04-04,68.0,Tatcha The Water Cream,95
2024-04-05,999.99,Garmin Fenix 6X Pro,96
2024-04-06,899.97,Bose SoundLink Revolve+ Speaker,97
2024-04-07,349.99,Vitamix Explorian Blender,98
2024-04-08,119.94,Gap Essential Crewneck T-Shirt,99
2024-04-09,25.98,The Power of Now by Eckhart Tolle,100
2024-04-10,82.0,Kiehl's Midnight Recovery Concentrate,101
2024-04-11,219.98,Under Armour HOVR Sonic 4 Shoes,102
2024-04-12,3899.99,Canon EOS R5 Camera,103
2024-04-13,699.98,Shark IQ Robot Vacuum,104
2024-04-14,119.97,H&M Slim Fit Jeans,105
2024-04-15,43.96,The Girl on the Train by Paula Hawkins,106
2024-04-16,6.5,The Ordinary Niacinamide Serum,107
2024-04-17,399.99,Bowflex SelectTech 552 Dumbbells,108
2024-04-18,459.98,Google Nest Hub Max,109
2024-04-19,159.99,Cuisinart Griddler Deluxe,110
2024-04-20,59.96,Old Navy Relaxed-Fit T-Shirt,111
2024-04-21,37.98,Sapiens: A Brief History of Humankind by Yuval Noah Harari,112
2024-04-22,15.0,Biore UV Aqua Rich Watery Essence Sunscreen,113
2024-04-23,689.85,Fitbit Versa 3,114
2024-04-24,249.99,Amazon Echo Show 10,115
2024-04-25,599.9,Breville Smart Grill,116
2024-04-26,149.97,Gap High Rise Skinny Jeans,117
2024-04-27,67.96,Atomic Habits by James Clear,118
2024-04-28,29.98,CeraVe Hydrating Facial Cleanser,119
2024-04-29,249.99,YETI Hopper Flip Portable Cooler,120
2024-04-30,1199.98,Apple iPad Air,121
2024-05-01,89.99,Hamilton Beach FlexBrew Coffee Maker,122
2024-05-02,64.95,Forever 21 Graphic Tee,123
2024-05-03,44.97,The Subtle Art of Not Giving a F*ck by Mark Manson,124
2024-05-04,30.0,NARS Radiant Creamy Concealer,125
2024-05-05,199.99,Yeti Roadie 24 Cooler,126
2024-05-06,499.99,Sony PlayStation 5,127
2024-05-07,799.98,Dyson Supersonic Hair Dryer,17
2024-05-08,294.0,Lululemon Align Leggings,128
2024-05-09,17.98,The Four Agreements by Don Miguel Ruiz,129
2024-05-10,36.0,Fenty Beauty Killawatt Highlighter,130
2024-05-11,159.8,Hydro Flask Wide Mouth Water Bottle,131
2024-05-12,1299.99,Microsoft Surface Laptop 4,132
2024-05-13,159.98,Keurig K-Mini Coffee Maker,133
2024-05-14,139.96,Gap Crewneck Sweatshirt,134
2024-05-15,29.97,Think and Grow Rich by Napoleon Hill,135
2024-05-16,6.8,The Ordinary Hyaluronic Acid Serum,136
2024-05-17,199.9,Fitbit Inspire 2,137
2024-05-18,1499.99,Samsung Odyssey G9 Gaming Monitor,138
2024-05-19,139.99,Instant Pot Ultra,139
2024-05-20,134.97,Adidas Essential Track Pants,140
2024-05-21,23.98,The Power of Habit by Charles Duhigg,141
2024-05-22,29.5,Clinique Dramatically Different Moisturizing Lotion,142
2024-05-23,299.99,YETI Tundra 45 Cooler,143
2024-05-24,549.0,Apple AirPods Max,144
2024-05-25,399.9,Cuisinart Coffee Center,145
2024-05-26,196.0,Levi's Sherpa Trucker Jacket,146
2024-05-27,32.97,The Outsiders by S.E. Hinton,147
2024-05-28,25.0,Laneige Water Sleeping Mask,148
2024-05-29,299.98,Bose SoundSport Wireless Earbuds,149
2024-05-30,349.99,Sony WH-1000XM4 Headphones,31
2024-05-31,399.98,Ninja Foodi Pressure Cooker,150
2024-06-01,164.97,Nike Sportswear Club Fleece Hoodie,151
2024-06-02,33.98,The Night Circus by Erin Morgenstern,152
2024-06-03,59.0,GlamGlow Supermud Clearing Treatment,153
2024-06-04,299.99,Garmin Forerunner 245,154
2024-06-05,899.99,Google Pixel 6 Pro,155
2024-06-06,499.95,Breville Nespresso Creatista Plus,156
2024-06-07,99.96,Under Armour Tech 2.0 T-Shirt,157
2024-06-08,23.97,The Art of War by Sun Tzu,158
2024-06-09,36.0,Youth to the People Superfood Antioxidant Cleanser,159
2024-06-10,69.98,TriggerPoint GRID Foam Roller,160
2024-06-11,1199.99,Apple MacBook Air,161
2024-06-12,199.99,Cuisinart Custom 14-Cup Food Processor,162
2024-06-13,149.95,Adidas 3-Stripes Shorts,163
2024-06-14,35.96,The Hunger Games by Suzanne Collins,164
2024-06-15,16.99,Neutrogena Hydro Boost Water Gel,165
2024-06-16,149.97,Yeti Rambler Bottle,166
2024-06-17,699.99,Samsung Odyssey G7 Gaming Monitor,167
2024-06-18,279.98,Instant Pot Duo Evo Plus,168
2024-06-19,104.97,Nike Tempo Running Shorts,169
2024-06-20,19.98,The Girl with the Dragon Tattoo by Stieg Larsson,170
2024-06-21,29.5,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,171
2024-06-22,699.99,Bowflex SelectTech 1090 Adjustable Dumbbells,172
2024-06-23,149.97,Amazon Fire TV Stick 4K,173
2024-06-24,99.98,Crock-Pot 6-Quart Slow Cooker,174
2024-06-25,59.6,Uniqlo Airism Mesh Boxer Briefs,175
2024-06-26,35.97,The Sun Also Rises by Ernest Hemingway,176
2024-06-27,68.0,First Aid Beauty Ultra Repair Cream,177
2024-06-28,146.0,Oakley Holbrook Sunglasses,178
2024-06-29,649.99,Google Pixelbook Go,179
2024-06-30,399.99,Dyson V8 Absolute,180
2024-07-01,179.97,Levi's 511 Slim Fit Jeans,181
2024-07-02,25.98,The Martian by Andy Weir,182
2024-07-03,190.0,La Mer Crème de la Mer Moisturizer,183
2024-07-04,499.95,Polar Vantage V2,184
2024-07-05,399.0,Sonos Beam Soundbar,185
2024-07-06,398.0,Anova Precision Cooker,186
2024-07-07,139.96,Nike Dri-FIT Training Shorts,187
2024-07-08,32.97,The Catcher in the Rye by J.D. Salinger,88
2024-07-09,18.0,Glossier Cloud Paint,188
2024-07-10,169.95,TRX All-in-One Suspension Training System,189
2024-07-11,199.99,Logitech G Pro X Wireless Gaming Headset,190
2024-07-12,199.95,Breville Smart Coffee Grinder Pro,191
2024-07-13,359.98,Adidas Ultraboost Running Shoes,192
2024-07-14,23.98,The Road by Cormac McCarthy,193
2024-07-15,125.0,Tom Ford Black Orchid Perfume,194
2024-07-16,449.99,GoPro HERO9 Black,195
2024-07-17,358.0,Apple TV 4K,196
2024-07-18,99.95,Instant Pot Duo Nova,197
2024-07-19,179.97,Gap 1969 Original Fit Jeans,198
2024-07-20,29.98,The Goldfinch by Donna Tartt,199
2024-07-21,52.0,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,200
2024-07-22,399.99,Yeti Tundra Haul Portable Wheeled Cooler,201
2024-07-23,299.99,Samsung Galaxy Watch 4,202
2024-07-24,379.99,KitchenAid Stand Mixer,203
2024-07-25,196.0,Lululemon Wunder Under High-Rise Leggings,204
2024-07-26,50.97,The Great Alone by Kristin Hannah,205
2024-07-27,79.0,Caudalie Vinoperfect Radiance Serum,206
2024-07-28,129.0,Bose SoundLink Color Bluetooth Speaker II,207
2024-07-29,749.99,Canon EOS Rebel T7i DSLR Camera,208
2024-07-30,339.98,Keurig K-Elite Coffee Maker,14
2024-07-31,39.6,Uniqlo Airism Seamless Boxer Briefs,209
2024-08-01,32.97,The Girl with the Dragon Tattoo by Stieg Larsson,170
2024-08-02,58.0,L'Occitane Shea Butter Hand Cream,210
2024-08-03,349.99,YETI Tundra 65 Cooler,211
2024-08-04,2399.0,Apple MacBook Pro 16-inch,212
2024-08-05,449.99,iRobot Braava Jet M6,213
2024-08-06,149.97,Champion Reverse Weave Hoodie,214
2024-08-07,25.98,The Nightingale by Kristin Hannah,215
2024-08-08,27.0,Tarte Shape Tape Concealer,216
2024-08-09,599.99,Garmin Forerunner 945,19
2024-08-10,199.96,Amazon Echo Dot (4th Gen),217
2024-08-11,459.98,Philips Sonicare DiamondClean Toothbrush,218
2024-08-12,89.98,Old Navy Mid-Rise Rockstar Super Skinny Jeans,219
2024-08-13,80.97,The Silent Patient by Alex Michaelides,52
2024-08-14,6.7,The Ordinary Caffeine Solution 5% + EGCG,220
2024-08-15,299.9,Fitbit Luxe,221
2024-08-16,169.0,Google Nest Wifi Router,222
2024-08-17,599.0,Anova Precision Oven,223
2024-08-18,259.96,Adidas Originals Trefoil Hoodie,224
2024-08-19,19.98,Dune by Frank Herbert,10
2024-08-20,24.0,Fresh Sugar Lip Treatment,225
2024-08-21,98.85,Hydro Flask Standard Mouth Water Bottle,226
2024-08-22,299.0,Bose QuietComfort 35 II Wireless Headphones,227
2024-08-23,159.99,Nespresso Vertuo Next Coffee and Espresso Maker,228
2024-08-24,270.0,Nike Air Force 1 Sneakers,229
2024-08-25,32.97,The Handmaid's Tale by Margaret Atwood,230
2024-08-26,55.0,Sunday Riley Luna Sleeping Night Oil,231
2024-08-27,59.98,Yeti Rambler 20 oz Tumbler,232
